name,author,narrator,time,releasedate,language,stars,price
Unicorn Academy: Aisha and Silver,Julie Sykes,Kristin Atherton,94,2022-10-03,English,4.46,266
Laura Blackman and The Five Cunning Aardvarks,Stella Robson,Derek Steel,13,2021-12-15,English,4.46,117
The Dragonet Prophecy,Tui T.Sutherland,Shannon Mc Manus,512,2012-01-07,English,5.0,820
Dangerous Gift,Tui T.Sutherland,Shannon Mc Manus,471,2021-02-03,English,5.0,445
"The 39 Clues, Book 6",Jude Watson,David Pittu,310,2009-06-11,English,5.0,468
Never Say Genius,Dan Gutman,Michael Goldstrom,327,2013-08-23,English,5.0,585
The Madman of Black Bear Mountain,Franklin W.Dixon,Tim Gregory,174,2016-07-06,English,5.0,305
Unicorn Academy: Zara and Moonbeam,Julie Sykes,Kristin Atherton,95,2022-10-03,English,4.46,266
El fantasma de la bodega,Francisco Díaz Valladares,Nuria Samsó,143,2022-04-04,Spanish,4.46,192
El paseo encantado,Mattel,Vanessa Pérez Jurado,33,2022-01-04,Spanish,4.46,76
Wigetta,"Vegetta777, Willyrex",Álexde Porrata,217,2022-05-04,Spanish,4.46,192
Aru Shah and the Nectar of Immortality,Roshani Chokshi,Soneela Nankani,679,2022-05-04,English,4.46,821
Barnabas der Wolkenschaufler,"Sophie Schoenwald, Nadine Reitz-Illustrator",Bernd Reheuser,176,2022-04-04,German,4.46,200
The Boy in the Post,Holly Rivers,Susie Trayling,418,2022-01-04,English,4.46,706
Thornwood,Leah Cypess,Jessica Almasy,341,2022-05-04,English,4.46,904
7 histoires d'aventures !,"Bertrand Fichou, Nora Thullin, Catherinede Lasa,","Guy Chappelier, Frédéric Sanchez, Marie Zidi,",43,2022-11-02,French,4.46,679
Le Loup qui devenait chef de la forêt,Orianne Lallemand,Will Production,9,2022-01-04,French,4.46,112
Curse of the Robo-Dragon,Adam Blade,Theo Solomon,126,2022-01-04,English,4.46,531
Call of the Crow,Jessica Khoury,"Michael Gallagher, Emily Eiden",570,2022-05-04,English,4.46,586
Glass Slippers,Leah Cypess,Keylor Leigh,338,2022-05-04,English,4.46,904
Captain Underpants and the Sensational Saga of Sir Stinks-a-Lot,Dav Pilkey,"Len Forgione, Winston Bromhead, I'ke Mitchell",97,2022-05-04,English,4.46,586
Tiger Honor,Yoon Ha Lee,Elissa Park,456,2022-04-01,English,5.0,586
The Amulet of Samarkand,Jonathan Stroud,Steven Pacey,570,2007-01-02,English,5.0,683
Rowley Jefferson's Awesome Friendly Spooky Stories,Jeff Kinney,Christopher Gebauer,89,2021-03-16,English,3.5,410
Lost in the End,Winter Morgan,Summer Mc Cusker,103,2016-06-04,English,5.0,233
Trouble Island,Franklin W.Dixon,Tim Gregory,264,2021-01-06,English,5.0,305
Terrors of the Forest,Mark Cheverton,Nick Walther,492,2022-01-25,English,4.46,703
Riverboat Roulette,Carolyn Keene,Jorjeana Marie,166,2017-03-20,English,5.0,305
The Book of Chaos,Jessica Renwick,Reba Buhr,330,2022-03-15,English,4.46,"1,172"
